Zipcodes,# of Parks
91901,4
91902,13
91905,10
91906,27
91910,20
91911,21
91913,32
91914,7
91915,18
91916,13
91917,3
91931,0
91932,23
91934,18
91935,8
91941,8
91942,18
91945,11
91948,24
91950,12
91962,13
91963,9
91977,9
91978,3
92003,4
92004,17
92007,7
92008,15
92009,15
92010,12
92011,9
92014,11
92019,8
92020,10
92021,7
92024,34
92025,9
92026,6
92027,14
92028,31
92029,10
92036,36
92037,19
92040,14
92054,12
92055,4
92056,11
92057,12
92058,13
92059,7
92060,13
92061,7
92064,27
92065,15
92066,8
92067,1
92069,26
92070,8
92071,23
92075,10
92078,22
92081,8
92082,11
92083,4
92084,9
92086,7
92091,2
92101,33
92102,12
92103,7
92104,13
92105,23
92106,18
92107,18
92108,10
92109,45
92110,10
92111,10
92113,12
92114,11
92115,10
92116,10
92117,14
92118,26
92119,18
92120,11
92121,6
92122,20
92123,9
92124,17
92126,20
92127,34
92128,11
92129,19
92130,30
92131,17
92139,10
92145,0
92154,17
92173,7
92672,44
"San Diego County, California",
