zipcode,business_status,name,lat,lng,country_code
91910,OPERATIONAL,Smart & Final Extra!,32.6389997,-117.050924,us
91910,OPERATIONAL,Sprouts Farmers Market,32.627807,-117.0749936,us
91911,OPERATIONAL,Carnival Supermarket,32.62185929999999,-117.0728924,us
91910,OPERATIONAL,Target Grocery,32.65361609999999,-117.0655931,us
91910,OPERATIONAL,99 Ranch Market,32.629342,-117.0409309,us
91911,OPERATIONAL,Northgate Market,32.6142014,-117.0709638,us
91911,OPERATIONAL,ALDI,32.5934452,-117.0350922,us
91911,OPERATIONAL,Smart & Final,32.5938439,-117.0659156,us
91911,OPERATIONAL,Apple Tree Market,32.5983872,-117.0649282,us
91911,OPERATIONAL,Mercado International 2000,32.6026449,-117.0642838,us
91915,OPERATIONAL,Barons Market Otay Ranch,32.6230952,-116.9659426,us
91913,OPERATIONAL,Sprouts Farmers Market,32.650776,-116.970119,us
91913,OPERATIONAL,Trader Joe's,32.652291,-116.9705502,us
91913,OPERATIONAL,Target Grocery,32.6506934,-116.9683212,us
91915,OPERATIONAL,Barons Market Otay Ranch,32.6230952,-116.9659426,us
91913,OPERATIONAL,Sprouts Farmers Market,32.650776,-116.970119,us
91913,OPERATIONAL,Trader Joe's,32.652291,-116.9705502,us
91915,OPERATIONAL,Barons Market Otay Ranch,32.6230952,-116.9659426,us
91913,OPERATIONAL,Target Grocery,32.6506934,-116.9683212,us
91932,OPERATIONAL,La Posta Market,32.5767766,-117.1064618,us
91932,OPERATIONAL,Imperial Beach Commissary- Defense Commissary Agency,32.5682893,-117.1082976,us
92154,OPERATIONAL,Northgate Market,32.57576479999999,-117.0704548,us
92154,OPERATIONAL,Farm Fresh Market,32.583347,-117.09361,us
92154,OPERATIONAL,Coronado Swap Meet,32.5781626,-117.0864147,us
91911,OPERATIONAL,Palet chula Vista,32.5982686,-117.0875518,us
91942,OPERATIONAL,Trader Joe's,32.7792966,-117.0056147,us
91942,OPERATIONAL,Sprouts Farmers Market,32.7628174,-117.0187199,us
91942,OPERATIONAL,Walmart Neighborhood Market,32.7748551,-117.0075528,us
91942,OPERATIONAL,Trader Joe's,32.7792966,-117.0056147,us
91942,OPERATIONAL,Sprouts Farmers Market,32.7628174,-117.0187199,us
91942,OPERATIONAL,Vine Ripe Market,32.776085,-117.0197158,us
91942,OPERATIONAL,Walmart Neighborhood Market,32.7748551,-117.0075528,us
91942,OPERATIONAL,Target Grocery,32.7792719,-117.0126681,us
91945,OPERATIONAL,Sprouts Farmers Market,32.7406408,-117.030077,us
92114,OPERATIONAL,Foodland Supermarket,32.7156391,-117.026008,us
92112,OPERATIONAL,Target Grocery,32.7412624,-117.0554922,us
91950,OPERATIONAL,Seafood City Supermarket,32.6748947,-117.0910302,us
91950,OPERATIONAL,Red Bird Market,32.667204,-117.0941181,us
91950,OPERATIONAL,Vallarta Supermarkets,32.6813499,-117.0798762,us
91950,OPERATIONAL,Island Pacific Seafood Market,32.680032,-117.078863,us
91950,OPERATIONAL,Smart & Final Extra!,32.651978,-117.0898987,us
91950,OPERATIONAL,Manila Seafood Oriental Market,32.6774439,-117.0818611,us
91950,OPERATIONAL,100 Percent Naturall,32.6903179,-117.0866088,us
91950,OPERATIONAL,Carnival Supermarket,32.6805179,-117.0889715,us
91950,OPERATIONAL,IGA National City CA,32.6827337,-117.0997256,us
91950,OPERATIONAL,Smart & Final Extra!,32.6760357,-117.0936142,us
91950,OPERATIONAL,Chan Dong Supermarket,32.6774515,-117.1004953,us
91950,OPERATIONAL,Big Ben Market,32.67604379999999,-117.1054891,us
91950,OPERATIONAL,National City Market,32.6677702,-117.1008081,us
91950,OPERATIONAL,Fiesta Market,32.67433059999999,-117.0772131,us
91950,OPERATIONAL,Manolo Farmers Market,32.6828118,-117.0997214,us
91950,OPERATIONAL,ALDI,32.6508675,-117.0893941,us
91977,OPERATIONAL,Smart & Final Extra!,32.7126719,-117.0109029,us
91977,OPERATIONAL,Target Grocery,32.7132653,-117.010811,us
91941,OPERATIONAL,Smart & Final Extra!,32.746536,-116.9586728,us
92019,OPERATIONAL,Target Grocery,32.7382167,-116.9383274,us
91941,OPERATIONAL,FDAkaydi,32.74761050000001,-116.9605212,us
92003,OPERATIONAL,Daniel's Market,33.2955627,-117.2217407,us
92024,OPERATIONAL,Trader Joe's,33.0471008,-117.2558081,us
92075,OPERATIONAL,Whole Foods Market,32.98115069999999,-117.2519665,us
92075,OPERATIONAL,Sprouts Farmers Market,32.99563,-117.25978,us
92024,OPERATIONAL,Sprouts Farmers Market,33.0447246,-117.2607456,us
92024,OPERATIONAL,Smart & Final Extra!,33.0464579,-117.2822551,us
92024,OPERATIONAL,Lazy Acres,33.0499423,-117.2889289,us
92024,OPERATIONAL,Back to Basics Food LLC,33.0366259,-117.2399982,us
92024,OPERATIONAL,Harvest Ranch Markets - Encinitas,33.035672,-117.238384,us
92024,OPERATIONAL,ALDI,33.0556369,-117.2607058,us
92054,OPERATIONAL,Trader Joe's,33.1841133,-117.3319447,us
92008,OPERATIONAL,Sprouts Farmers Market,33.1764271,-117.3248003,us
92008,OPERATIONAL,Smart & Final Extra!,33.1617961,-117.3434662,us
92011,OPERATIONAL,Happy Pantry Carlsbad,33.1386776,-117.2726976,us
92008,OPERATIONAL,El Torito Market,33.15831610000001,-117.3464065,us
92054,OPERATIONAL,Target Grocery,33.1842313,-117.330246,us
92054,OPERATIONAL,WinCo Foods,33.1855672,-117.3299489,us
92009,OPERATIONAL,Trader Joe's,33.1266667,-117.2546042,us
92024,OPERATIONAL,Jimbo's,33.072126,-117.2650557,us
92009,OPERATIONAL,Sprouts Farmers Market,33.0749802,-117.2385432,us
92024,OPERATIONAL,Target Grocery,33.06775,-117.26256,us
92009,OPERATIONAL,Sprouts Farmers Market,33.1293707,-117.2542459,us
92024,OPERATIONAL,ALDI,33.0556369,-117.2607058,us
92078,OPERATIONAL,Target Grocery,33.13602889999999,-117.2288456,us
92009,OPERATIONAL,Trader Joe's,33.1266667,-117.2546042,us
92008,OPERATIONAL,Sprouts Farmers Market,33.1764271,-117.3248003,us
92011,OPERATIONAL,Happy Pantry Carlsbad,33.1386776,-117.2726976,us
92083,OPERATIONAL,Smart & Final Extra!,33.1891152,-117.2810547,us
92056,OPERATIONAL,North Park Produce,33.1850724,-117.282814,us
92009,OPERATIONAL,Sprouts Farmers Market,33.1293707,-117.2542459,us
