zipcode,name,lat,lng,county
91901,Wright's Field,32.8194935,-116.763489,San Diego County
91901,Viejas Park,32.8424372,-116.7041285,San Diego County
91901,Loveland Fishing Access,32.79975029999999,-116.7604335,San Diego County
91902,Sweetwater Summit Regional Park,32.6825083,-117.0025472,San Diego County
91902,Sweetwater County Park,32.6825925,-117.0019038,San Diego County
91902,Eastview Community Park,32.6830104,-117.0007862,San Diego County
91902,Pleasant Park,32.6661441,-117.0138532,San Diego County
91902,Sparks Family Garden,32.6773535,-117.0184555,San Diego County
91913,Bonita Long Canyon Park,32.6571234,-116.9946849,San Diego County
91902,Sweetwater Community Garden,32.6767119,-117.0192768,San Diego County
91902,Sweetwater Reservoir Parking,32.68781510000001,-116.9971355,San Diego County
91902,Sweetwater - Hiking Trail,32.6748217,-117.0231341,San Diego County
91902,Sweetwater Regional Park,32.67477540000001,-117.0231427,San Diego County
91902,Xross-Camp At Rohr Park by Porter,32.67291400000001,-117.0252613,San Diego County
91902,Rohr Park baseball restroom,32.6658947,-117.0290252,San Diego County
91906,Lake Morena RV Park,32.6764915,-116.5084289,San Diego County
91906,Pacific Crest Trail - Lake Morena trailhead,32.682488,-116.5168956,San Diego County
91906,Pacific Crest Trail,32.684843,-116.5166649,San Diego County
91950,Chula Vista Recreation Department,32.6413961,-117.0849597,San Diego County
91911,Hilltop Park,32.6287737,-117.0628587,San Diego County
91910,Walk Chula Vista Recreation Department,32.638044,-117.0824422,San Diego County
91910,Memorial Park,32.63877290000001,-117.0810631,San Diego County
91910,Chula Vista Friendship Park,32.6417717,-117.0836373,San Diego County
91911,Hilltop Park Trailhead,32.6282848,-117.0611417,San Diego County
91910,Sweetwater Park Trail,32.6481157,-117.0575673,San Diego County
91910,Gayle L. McCandliss Park,32.63510779999999,-117.0461239,San Diego County
91910,Dignity Memorial Pre-planning,32.6522284,-117.0476064,San Diego County
91910,Terra Nova Park,32.6451533,-117.0429975,San Diego County
92154,Otay Valley Regional Park,32.5886294,-117.062309,San Diego County
91911,Connoley Park Entrance,32.5994406,-117.0554051,San Diego County
91911,Orange Park,32.6008836,-117.0676953,San Diego County
91911,Greg Rogers Park,32.62044289999999,-117.0343741,San Diego County
91911,Otay Park,32.5974293,-117.0569741,San Diego County
91911,Los Ninos Park,32.5993547,-117.04426,San Diego County
91911,Lauderbach Park,32.6085597,-117.068927,San Diego County
91911,Palomar Park,32.6128007,-117.0407978,San Diego County
91911,San Diego Gas and Electric Park,32.6026557,-117.05348,San Diego County
91911,Loma Verde Park,32.6029173,-117.0474112,San Diego County
91911,Palomar Apartments Community Garden,32.60881929999999,-117.0608519,San Diego County
91911,Holiday Estates II,32.597528,-117.0534592,San Diego County
91911,Bay Boulevard Park,32.5958815,-117.0377099,San Diego County
91911,Rio East Community Pool and Park,32.5929292,-117.0396004,San Diego County
91911,Valle Lindo Park,32.6022926,-117.0310431,San Diego County
91911,Chula vista library dog park,32.60191259999999,-117.0685523,San Diego County
91911,Rios Avenue Staging Area,32.5909254,-117.0438147,San Diego County
92154,Greg Cox Bike Park,32.5908201,-117.0399286,San Diego County
92154,Otay River Staging Area,32.592515,-117.0631273,San Diego County
91911,Greg Cox Bike Park,32.59109019999999,-117.0382179,San Diego County
91913,All Seasons Park,32.6130587,-116.9753082,San Diego County
91913,Santa Cora Park,32.6295888,-116.9846639,San Diego County
91915,Santa Venetia Park,32.6255479,-116.9767367,San Diego County
91913,Cottonwood Park,32.63245539999999,-116.9829579,San Diego County
91913,Jacaranda Park,32.6157693,-116.9971278,San Diego County
91913,Harvest Park,32.63020669999999,-116.9909219,San Diego County
91913,McMillin Lomas Verdes Neighborhood Park,32.6245371,-116.9816671,San Diego County
91913,Montecito Park,32.617619,-116.9891149,San Diego County
91915,Mulberry Park,32.614982,-116.981092,San Diego County
91913,Oak Crest Park,32.6283797,-116.993891,San Diego County
91913,Heritage Park,32.6246516,-116.9976833,San Diego County
91913,Wisteria Park,32.6208305,-116.9982255,San Diego County
91913,Grove Park,32.6139924,-116.9948261,San Diego County
91913,Wolf Canyon Park,32.61408,-116.975275,San Diego County
91915,Town Center Dog Park,32.62278730000001,-116.9704719,San Diego County
91913,Alcala Park,32.6349032,-116.989976,San Diego County
91913,Meadow Park,32.61021759999999,-116.9953186,San Diego County
91913,Orchard Park,32.6251845,-117.0026165,San Diego County
91913,Summerland Park,32.6070559,-116.9926421,San Diego County
91915,Sunset View Park,32.6330721,-116.961942,San Diego County
91915,Windingwalk Park,32.6234248,-116.9557985,San Diego County
91913,Mackenzie Creek Park,32.6595836,-116.9698348,San Diego County
91915,Mountain Hawk Park,32.6359367,-116.9338523,San Diego County
91915,CHULA VISTA BMX,32.6303576,-116.9372199,San Diego County
91913,Cottonwood Park,32.63245539999999,-116.9829579,San Diego County
91915,Chula Vista Community Park,32.6440785,-116.9676274,San Diego County
91913,Scobee Park,32.6535884,-116.9647641,San Diego County
91902,Sweetwater Summit Regional Park,32.6825083,-117.0025472,San Diego County
91913,Santa Cora Park,32.6295888,-116.9846639,San Diego County
91915,Santa Venetia Park,32.6255479,-116.9767367,San Diego County
91913,Bonita Long Canyon Park,32.6571234,-116.9946849,San Diego County
91914,Park,32.6635399,-116.9607536,San Diego County
91914,Mother Miguel Mountain Trailhead,32.67234939999999,-116.9721442,San Diego County
91914,Mount San Miguel Dog Park,32.6720257,-116.9727116,San Diego County
91914,Proctor Valley Natural Resource Area,32.6578424,-116.9345609,San Diego County
