zipcode,stop_name,lat,lng,county
91941,Allison Av & Palm Av,32.765915,-117.019588,San Diego County
91941,La Mesa Bl & University Av,32.767805,-117.015427,San Diego County
91977,Sweetwater Rd & Jamacha Rd,32.714228,-117.0128,San Diego County
91941,La Mesa Bl & Glen St,32.769344,-117.011003,San Diego County
91977,Orville St & Brucker Av,32.709168,-117.009255,San Diego County
91941,La Mesa Bl & Jackson Dr,32.770425,-117.008508,San Diego County
92119,Navajo Rd & Jaffe Ct,32.802796,-117.008673,San Diego County
91941,La Mesa Bl & Garfield St,32.772304,-117.006042,San Diego County
92037,Pearl St & La Jolla Bl,32.839152,-117.277924,San Diego County
92037,Silverado St & Herschel Av,32.845184,-117.273406,San Diego County
92037,Torrey Pines Rd & Prospect St,32.847411,-117.266943,San Diego County
92109,Turquoise St & La Jolla Bl,32.808123,-117.261262,San Diego County
92109,Grand Av & Bayard St,32.79503,-117.2527,San Diego County
92109,Garnet Av & Cass St,32.797376,-117.251519,San Diego County
92109,Grand Av & Cass St,32.795427,-117.250901,San Diego County
92109,Garnet Av & Fanuel St,32.798559,-117.245961,San Diego County
92037,La Jolla Village Dr & N. Torrey Pines Rd,32.869972,-117.241793,San Diego County
92107,Voltaire St & Froude St,32.747543,-117.239543,San Diego County
92109,Grand Av & Ingraham St,32.797864,-117.239731,San Diego County
92107,Voltaire St & Soto St,32.746232,-117.237447,San Diego County
92109,W Mission Bay Dr & Quivira Rd,32.765237,-117.237601,San Diego County
92109,Grand Av & Lamont St,32.799062,-117.234323,San Diego County
92037,La Jolla Village Dr & Villa La Jolla Dr,32.871496,-117.233107,San Diego County
92107,West Point Loma Bl & Temecula St,32.752249,-117.232596,San Diego County
92106,Voltaire St & Las Lomas St,32.741333,-117.231047,San Diego County
92106,Macaulay St & Tustin St,32.732805,-117.23128,San Diego County
92109,Garnet Av & Olney St,32.802198,-117.229528,San Diego County
92109,Grand Av & Olney St,32.800263,-117.22882,San Diego County
92109,Garnet Av & Fogg St,32.803448,-117.225708,San Diego County
92109,Garnet Av & Soledad Mountain Rd,32.804965,-117.223405,San Diego County
92110,West Point Loma Bl & Groton St,32.754362,-117.221538,San Diego County
92122,Governor Dr & Regents Rd,32.851276,-117.216235,San Diego County
92122,Governor Dr & Scripps St,32.85095,-117.214988,San Diego County
92117,Clairemont Mesa Bl & Moraga Av,32.828417,-117.213002,San Diego County
92122,Governor Dr & Stadium St,32.850724,-117.21296,San Diego County
92122,La Jolla Village Dr & Executive Wy,32.873694,-117.209088,San Diego County
92110,Midway Dr & East Dr,32.750285,-117.209104,San Diego County
92122,Governor Dr & Mercer St,32.851883,-117.209944,San Diego County
92117,Clairemont Mesa Bl & Pocahontas Av,32.827605,-117.208514,San Diego County
92110,Clairemont Dr & Denver St,32.790261,-117.202797,San Diego County
92126,Mira Mesa Bl & Scranton Rd,32.892518,-117.20095,San Diego County
92117,Clairemont Mesa Bl & Dubois Dr,32.83437,-117.197424,San Diego County
92117,Clairemont Mesa Bl & Genesee Av,32.834353,-117.194201,San Diego County
