zipcode,circle-rating--small,scale,name,student_count
91901,7.0,Above average,The Heights Charter,244
91901,6.0,Average,Boulder Oaks Elementary School,333
91901,6.0,Average,Joan Macqueen Middle School,438
91901,6.0,Average,Shadow Hills Elementary School,387
91901,4.0,Below average,Alpine Elementary School,158
92011,9.0,Above average,Pacific Rim Elementary School,825
92011,9.0,Above average,Aviara Oaks Middle School,1050
92010,9.0,Above average,Sage Creek High School,1320
92011,9.0,Above average,Aviara Oaks Elementary School,675
92008,9.0,Above average,Kelly Elementary School,491
92008,9.0,Above average,Magnolia Elementary School,517
92009,9.0,Above average,La Costa Heights Elementary School,672
92009,9.0,Above average,Olivenhain Pioneer Elementary School,570
92009,8.0,Above average,Carrillo Elementary School,902
92009,8.0,Above average,El Camino Creek Elementary School,587
92009,8.0,Above average,Mission Estancia Elementary School,483
92009,8.0,Above average,Poinsettia Elementary School,465
92008,8.0,Above average,Carlsbad High School,2342
92010,8.0,Above average,Hope Elementary School,640
92008,8.0,Above average,Valley Middle School,1036
92009,8.0,Above average,La Costa Meadows Elementary School,867
92010,7.0,Above average,Calavera Hills Elementary School,476
92008,7.0,Above average,Buena Vista Elementary School,361
92008,7.0,Above average,Jefferson Elementary School,462
92009,7.0,Above average,La Costa Canyon High School,1947
92008,6.0,Average,Carlsbad Seaside Academy,49
92010,6.0,Average,Calavera Hills Middle School,601
92008,4.0,Below average,Audeo Charter School II,228
92008,2.0,Below average,Carlsbad Village Academy,85
91911,10.0,Above average,Parkview Elementary School,367
91915,9.0,Above average,Arroyo Vista Charter School,970
91913,9.0,Above average,Heritage Elementary School,781
91914,9.0,Above average,Salt Creek Elementary School,905
91910,9.0,Above average,Discovery Charter School,928
91913,9.0,Above average,Eastlake Elementary School,555
91915,9.0,Above average,Eastlake High School,2908
91914,8.0,Above average,Marshall (Thurgood) Elementary School,645
91913,8.0,Above average,Hedenkamp (Anne And William) Elementary School,1001
91914,8.0,Above average,Eastlake Middle School,1801
91913,8.0,Above average,Otay Ranch Senior High School,2372
91914,8.0,Above average,Liberty Elementary School,695
91913,8.0,Above average,Veterans Elementary School,891
91913,8.0,Above average,Olympian High School,2476
91913,8.0,Above average,Wolf Canyon Elementary School,713
91915,8.0,Above average,Camarena (Enrique S.) Elementary,1038
91913,8.0,Above average,Muraoka (Saburo) Elementary,717
91910,8.0,Above average,Casillas (Joseph) Elementary School,441
91910,8.0,Above average,Clear View,502
91915,8.0,Above average,Olympic View Elementary School,732
91913,8.0,Above average,Bonita Vista Senior High School,2355
91913,7.0,Above average,McMillin (Corky) Elementary School,834
91915,7.0,Above average,High Tech High Chula Vista School,570
91910,7.0,Above average,Chula Vista Hills Elementary School,530
91910,7.0,Above average,Feaster (Mae L.) Charter School,1203
91913,7.0,Above average,Tiffany (Burton C.) Elementary School,461
91910,7.0,Above average,Hilltop Senior High School,2089
91910,7.0,Above average,Rancho Del Rey Middle School,1757
91915,6.0,Average,High Tech Elementary Chula Vista School,400
91911,6.0,Average,Castle Park Elementary School,387
91911,6.0,Average,Chula Vista Learning Community Charter School,1510
91911,6.0,Average,Cook (Hazel Goes) Elementary School,354
91910,6.0,Average,Halecrest Elementary School,481
91910,6.0,Average,Hilltop Drive Elementary School,527
91911,6.0,Average,Kellogg (Karl H.) Elementary School,335
91911,6.0,Average,Lauderbach (J. Calvin) Elementary School,768
91911,6.0,Average,Loma Verde Elementary School,491
91911,6.0,Average,Montgomery (John J.) Elementary School,322
91910,6.0,Average,Mueller Charter (Robert L.) School,1566
91911,6.0,Average,Otay Elementary School,576
91911,6.0,Average,Rice (Lilian J.) Elementary School,649
91910,6.0,Average,Rosebank Elementary School,577
91911,6.0,Average,Valle Lindo Elementary School,435
91910,6.0,Average,Bonita Vista Middle School,1180
91911,6.0,Average,Castle Park Middle School,803
91911,5.0,Average,Leonardo Da Vinci Health Sciences Charter School,264
91911,5.0,Average,Hawking S.T.E.A.M. Charter,998
91911,5.0,Average,Palomar Elementary School,339
91911,5.0,Average,Rogers (Greg) Elementary School,406
91910,5.0,Average,Vista Square Elementary School,650
91911,5.0,Average,Castle Park Senior High School,1675
91910,4.0,Below average,Howard Gardner Community Charter,231
91915,4.0,Below average,High Tech Middle Chula Vista School,332
91911,4.0,Below average,Harborside Elementary School,668
91911,4.0,Below average,Rohr (Fred H.) Elementary School,295
91910,4.0,Below average,Chula Vista Middle School,874
91911,4.0,Below average,Chula Vista Senior High School,2487
91910,4.0,Below average,Hilltop Middle School,1004
91910,3.0,Below average,San Diego Virtual,366
91910,3.0,Below average,Sweetwater Secondary,230
91911,1.0,Below average,Maac Community Charter School,201
92020,9.0,Above average,Literacy First Charter School,1678
92020,9.0,Above average,Grossmont Middle College High School,59
92020,8.0,Above average,Fuerte Elementary School,670
92019,8.0,Above average,Valhalla High School,2099
92020,8.0,Above average,Fletcher Hills Elementary School,656
92021,7.0,Above average,Los Coches Creek Middle School,785
92021,7.0,Above average,Blossom Valley Elementary School,542
92019,7.0,Above average,Rancho San Diego Elementary School,604
92020,6.0,Average,Eje Elementary Academy Charter,560
92020,6.0,Average,Eje Middle Academy,242
92021,6.0,Average,Bostonia Elementary School,587
92019,6.0,Average,Hillsdale Middle School,1532
92019,6.0,Average,Jamacha Elementary School,453
92019,6.0,Average,Vista Grande Elementary School,606
92019,6.0,Average,Granite Hills High School,2294
92021,6.0,Average,Pepper Drive Elementary School,968
92020,5.0,Average,Anza Elementary School,554
92021,5.0,Average,Crest Elementary School,113
92020,5.0,Average,Flying Hills Elementary School,555
92019,5.0,Average,Madison Avenue Elementary School,600
92019,4.0,Below average,Methodschools,100
92019,4.0,Below average,Mosaica Online Academy Of Southern California,2550
92019,4.0,Below average,Inspire Charter School - South,4466
92020,4.0,Below average,Pacific Coast Academy,2797
92019,4.0,Below average,Montgomery Middle School,913
92019,4.0,Below average,Dehesa School,137
92020,3.0,Below average,Idea Center,177
92020,3.0,Below average,Grossmont Secondary,300
92020,3.0,Below average,Cajon Valley Middle School,956
92020,3.0,Below average,Emerald Middle School,588
92021,3.0,Below average,Greenfield Middle School,787
92021,3.0,Below average,W. D. Hall Elementary School,549
92020,3.0,Below average,Johnson Elementary School,690
92019,3.0,Below average,Lexington Elementary School,848
92021,3.0,Below average,Magnolia Elementary School,568
92019,3.0,Below average,Meridian Elementary School,599
92021,3.0,Below average,Rios Elementary School,345
92021,3.0,Below average,El Cajon Valley High School,1689
92021,2.0,Below average,Cajon Valley Home School,54
92021,2.0,Below average,Diego Valley East Public Charter,552
92020,2.0,Below average,Chase Avenue Elementary School,738
92021,2.0,Below average,Naranca Elementary School,821
92024,8.0,Above average,Flora Vista Elementary School,451
92024,8.0,Above average,Diegueno Middle School,937
92024,8.0,Above average,San Dieguito High Academy,1850
92024,7.0,Above average,Ocean Knoll Elementary School,676
92024,7.0,Above average,Paul Ecke-Central Elementary School,651
92024,7.0,Above average,Oak Crest Middle School,736
92024,6.0,Average,Capri Elementary School,719
92024,6.0,Average,Park Dale Lane Elementary School,467
92024,4.0,Below average,Sunset High (Continuation) School,102
92025,9.0,Above average,Classical Academy High School,1205
92029,9.0,Above average,Del Lago Academy - Campus Of Applied Science,822
92027,7.0,Above average,Heritage K-8 Charter School,1179
92029,7.0,Above average,Bernardo Elementary School,580
92027,7.0,Above average,Quantum Academy,305
92025,7.0,Above average,L. R. Green Elementary School,804
92027,7.0,Above average,Escondido Charter High School,856
92025,6.0,Average,Classical Academy,1299
92026,6.0,Average,Community Montessori Charter,705
92027,6.0,Average,Glen View Elementary School,666
92025,6.0,Average,Miller Elementary School,419
92025,6.0,Average,San Pasqual High School,2191
92027,6.0,Average,San Pasqual Union Elementary School,584
92025,5.0,Average,Bear Valley Middle School,1031
92026,5.0,Average,Reidy Creek Elementary School,651
92027,5.0,Average,Conway Elementary School,531
92029,5.0,Average,Del Dios Middle School,784
92026,5.0,Average,North Broadway Elementary School,590
92027,5.0,Average,Rose Elementary School,524
92026,5.0,Average,Escondido High School,2244
92026,4.0,Below average,Dehesa Charter School,464
92026,4.0,Below average,Farr Avenue Elementary School,614
92025,4.0,Below average,Felicita Elementary School,541
92025,4.0,Below average,Mission Middle School,992
92027,4.0,Below average,Hidden Valley Middle School,943
92025,4.0,Below average,Juniper Elementary School,625
