"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"9","/10","Above average","Pacific Rim Elementary School","https://www.greatschools.org/california/carlsbad/11125-Pacific-Rim-Elementary-School/","1100 Camino De Las Ondas, Carlsbad, CA, 92011","Public district","K-5","825","27:1","Carlsbad Unified School District"
"9","/10","Above average","Aviara Oaks Middle School","https://www.greatschools.org/california/carlsbad/11843-Aviara-Oaks-Middle-School/","6880 Ambrosia Lane, Carlsbad, CA, 92011","Public district","6-8","1050","28:1","Carlsbad Unified School District"
"9","/10","Above average","Sage Creek High School","https://www.greatschools.org/california/carlsbad/31104-Sage-Creek-High-School/","3900 Cannon Road, Carlsbad, CA, 92010","Public district","9-12","1320","28:1","Carlsbad Unified School District"
"9","/10","Above average","Aviara Oaks Elementary School","https://www.greatschools.org/california/carlsbad/5864-Aviara-Oaks-Elementary-School/","6900 Ambrosia Lane, Carlsbad, CA, 92011","Public district","K-5","675","27:1","Carlsbad Unified School District"
"9","/10","Above average","Kelly Elementary School","https://www.greatschools.org/california/carlsbad/5869-Kelly-Elementary-School/","4885 Kelly Drive, Carlsbad, CA, 92008","Public district","K-5","491","26:1","Carlsbad Unified School District"
"9","/10","Above average","Magnolia Elementary School","https://www.greatschools.org/california/carlsbad/5871-Magnolia-Elementary-School/","1905 Magnolia Avenue, Carlsbad, CA, 92008","Public district","K-5","517","25:1","Carlsbad Unified School District"
"9","/10","Above average","La Costa Heights Elementary School","https://www.greatschools.org/california/carlsbad/5881-La-Costa-Heights-Elementary-School/","3035 Levante Street, Carlsbad, CA, 92009","Public district","K-6","672","23:1","Encinitas Union Elementary School District"
"9","/10","Above average","Olivenhain Pioneer Elementary School","https://www.greatschools.org/california/carlsbad/5884-Olivenhain-Pioneer-Elementary-School/","8000 Calle Acervo, Carlsbad, CA, 92009","Public district","K-6","570","23:1","Encinitas Union Elementary School District"
"8","/10","Above average","Carrillo Elementary School","https://www.greatschools.org/california/carlsbad/11229-Carrillo-Elementary-School/","2875 Poinsettia Lane, Carlsbad, CA, 92009","Public district","K-5","902","28:1","San Marcos Unified School District"
"8","/10","Above average","El Camino Creek Elementary School","https://www.greatschools.org/california/carlsbad/11833-El-Camino-Creek-Elementary-School/","7885 Paseo Aliso, Carlsbad, CA, 92009","Public district","K-6","587","22:1","Encinitas Union Elementary School District"
"8","/10","Above average","Mission Estancia Elementary School","https://www.greatschools.org/california/carlsbad/12037-Mission-Estancia-Elementary-School/","3330 Calle Barcelona, Carlsbad, CA, 92009","Public district","K-6","483","23:1","Encinitas Union Elementary School District"
"8","/10","Above average","Poinsettia Elementary School","https://www.greatschools.org/california/carlsbad/17538-Poinsettia-Elementary-School/","2445 Mica Road, Carlsbad, CA, 92009","Public district","K-5","465","27:1","Carlsbad Unified School District"
"8","/10","Above average","Carlsbad High School","https://www.greatschools.org/california/carlsbad/5866-Carlsbad-High-School/","3557 Monroe Street, Carlsbad, CA, 92008","Public district","9-12","2342","30:1","Carlsbad Unified School District"
"8","/10","Above average","Hope Elementary School","https://www.greatschools.org/california/carlsbad/5867-Hope-Elementary-School/","3010 Tamarack Avenue, Carlsbad, CA, 92010","Public district","K-5","640","26:1","Carlsbad Unified School District"
"8","/10","Above average","Valley Middle School","https://www.greatschools.org/california/carlsbad/5873-Valley-Middle-School/","1645 Magnolia Avenue, Carlsbad, CA, 92008","Public district","6-8","1036","29:1","Carlsbad Unified School District"
"8","/10","Above average","La Costa Meadows Elementary School","https://www.greatschools.org/california/carlsbad/6262-La-Costa-Meadows-Elementary-School/","6889 El Fuerte Street, Carlsbad, CA, 92009","Public district","K-5","867","25:1","San Marcos Unified School District"
"7","/10","Above average","Calavera Hills Elementary School","https://www.greatschools.org/california/carlsbad/12224-Calavera-Hills-Elementary-School/","4100 Tamarack Avenue, Carlsbad, CA, 92010","Public district","K-5","476","28:1","Carlsbad Unified School District"
"7","/10","Above average","Buena Vista Elementary School","https://www.greatschools.org/california/carlsbad/5865-Buena-Vista-Elementary-School/","1330 Buena Vista Way, Carlsbad, CA, 92008","Public district","K-5","361","30:1","Carlsbad Unified School District"
"7","/10","Above average","Jefferson Elementary School","https://www.greatschools.org/california/carlsbad/5868-Jefferson-Elementary-School/","3743 Jefferson Street, Carlsbad, CA, 92008","Public district","K-5","462","26:1","Carlsbad Unified School District"
"7","/10","Above average","La Costa Canyon High School","https://www.greatschools.org/california/encinitas/6087-La-Costa-Canyon-High-School/","1 Maverick Way, Carlsbad, CA, 92009","Public district","9-12","1947","23:1","San Dieguito Union High School District"
"6","/10","Average","Carlsbad Seaside Academy","https://www.greatschools.org/california/carlsbad/11124-Carlsbad-Seaside-Academy/","3557 Monroe Street, Carlsbad, CA, 92008","Public district","9-12","49","23:1","Carlsbad Unified School District"
"6","/10","Average","Calavera Hills Middle School","https://www.greatschools.org/california/carlsbad/14745-Calavera-Hills-Middle-School/","4104 Tamarack Avenue, Carlsbad, CA, 92010","Public district","6-8","601","28:1","Carlsbad Unified School District"
"4","/10","Below average","Audeo Charter School II","https://www.greatschools.org/california/carlsbad/32444-Audeo-Charter-Ii/","2525 El Camino Real, Suite 156, Carlsbad, CA, 92008","Public charter","K-12","228","21:1","Sbe - Audeo Charter II"
"2","/10","Below average","Carlsbad Village Academy","https://www.greatschools.org/california/carlsbad/5870-Carlsbad-Village-Academy/","3557 Monroe Street, Carlsbad, CA, 92008","Public district","10-12","85","17:1","Carlsbad Unified School District"
"","","Currently unrated","Carlsbad Adult","https://www.greatschools.org/california/carlsbad/14266-Carlsbad-Adult/","6225 El Camino Real, Carlsbad, CA, 92009","Public district","Ungraded","N/A","N/A","Carlsbad Unified School District"
