"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"10","/10","Above average","Parkview Elementary School","https://www.greatschools.org/california/chula-vista/5848-Parkview-Elementary-School/","575 Juniper Street, Chula Vista, CA, 91911","Public district","K-6","367","18:1","Chula Vista Elementary School District"
"9","/10","Above average","Arroyo Vista Charter School","https://www.greatschools.org/california/chula-vista/11097-Arroyo-Vista-Charter-School/","2491 School House Road, Chula Vista, CA, 91915","Public charter","K-8","970","22:1","Chula Vista Elementary School District"
"9","/10","Above average","Heritage Elementary School","https://www.greatschools.org/california/chula-vista/12034-Heritage-Elementary-School/","1450 Santa Lucia Road, Chula Vista, CA, 91913","Public district","K-6","781","21:1","Chula Vista Elementary School District"
"9","/10","Above average","Salt Creek Elementary School","https://www.greatschools.org/california/chula-vista/14185-Salt-Creek-Elementary-School/","1055 Hunte Parkway, Chula Vista, CA, 91914","Public district","K-6","905","21:1","Chula Vista Elementary School District"
"9","/10","Above average","Discovery Charter School","https://www.greatschools.org/california/chula-vista/5831-Discovery-Charter-School/","1100 Camino Biscay, Chula Vista, CA, 91910","Public charter","K-8","928","26:1","Chula Vista Elementary School District"
"9","/10","Above average","Eastlake Elementary School","https://www.greatschools.org/california/chula-vista/5832-Eastlake-Elementary-School/","1955 Hillside Drive, Chula Vista, CA, 91913","Public district","K-6","555","18:1","Chula Vista Elementary School District"
"9","/10","Above average","Eastlake High School","https://www.greatschools.org/california/chula-vista/6284-Eastlake-High-School/","1120 Eastlake Parkway, Chula Vista, CA, 91915","Public district","9-12","2908","24:1","Sweetwater Union High School District"
"8","/10","Above average","Marshall (Thurgood) Elementary School","https://www.greatschools.org/california/chula-vista/11096-Marshall-Thurgood-Elementary-School/","2295 Mackenzie Creek Road, Chula Vista, CA, 91914","Public district","K-6","645","19:1","Chula Vista Elementary School District"
"8","/10","Above average","Hedenkamp (Anne And William) Elementary School","https://www.greatschools.org/california/chula-vista/12451-Hedenkamp-Anne-And-William-Elementary-School/","930 East Palomar Street, Chula Vista, CA, 91913","Public district","K-6","1001","23:1","Chula Vista Elementary School District"
"8","/10","Above average","Eastlake Middle School","https://www.greatschools.org/california/chula-vista/12517-Eastlake-Middle-School/","900 Duncan Ranch Road, Chula Vista, CA, 91914","Public district","7-8","1801","24:1","Sweetwater Union High School District"
"8","/10","Above average","Otay Ranch Senior High School","https://www.greatschools.org/california/chula-vista/12628-Otay-Ranch-Senior-High-School/","1250 Olympic Parkway, Chula Vista, CA, 91913","Public district","9-12","2372","23:1","Sweetwater Union High School District"
"8","/10","Above average","Liberty Elementary School","https://www.greatschools.org/california/chula-vista/14179-Liberty-Elementary-School/","2175 Proctor Valley Road, Chula Vista, CA, 91914","Public district","K-6","695","21:1","Chula Vista Elementary School District"
"8","/10","Above average","Veterans Elementary School","https://www.greatschools.org/california/chula-vista/14720-Veterans-Elementary-School/","1550 Magdalena Avenue, Chula Vista, CA, 91913","Public district","K-6","891","23:1","Chula Vista Elementary School District"
"8","/10","Above average","Olympian High School","https://www.greatschools.org/california/chula-vista/17054-Olympian-High-School/","1925 Magdalena Avenue, Chula Vista, CA, 91913","Public district","9-12","2476","25:1","Sweetwater Union High School District"
"8","/10","Above average","Wolf Canyon Elementary School","https://www.greatschools.org/california/chula-vista/17509-Wolf-Canyon-Elementary-School/","1950 Wolf Canyon Loop, Chula Vista, CA, 91913","Public district","K-6","713","19:1","Chula Vista Elementary School District"
"8","/10","Above average","Camarena (Enrique S.) Elementary","https://www.greatschools.org/california/chula-vista/31024-Camarena-Enrique-S.-Elementary/","1650 Explr Falls Dr., Chula Vista, CA, 91915","Public district","K-6","1038","23:1","Chula Vista Elementary School District"
"8","/10","Above average","Muraoka (Saburo) Elementary","https://www.greatschools.org/california/chula-vista/32702-Muraoka-Saburo-Elementary/","1644 Santa Alexia Avenue, Chula Vista, CA, 91913","Public district","K-6","717","20:1","Chula Vista Elementary School District"
"8","/10","Above average","Casillas (Joseph) Elementary School","https://www.greatschools.org/california/chula-vista/5825-Casillas-Joseph-Elementary-School/","1130 East J Street, Chula Vista, CA, 91910","Public district","K-6","441","17:1","Chula Vista Elementary School District"
"8","/10","Above average","Clear View","https://www.greatschools.org/california/chula-vista/5829-Clear-View/","455 Windrose Way, Chula Vista, CA, 91910","Public district","K-6","502","20:1","Chula Vista Elementary School District"
"8","/10","Above average","Olympic View Elementary School","https://www.greatschools.org/california/chula-vista/5845-Olympic-View-Elementary-School/","1220 South Greensview Drive, Chula Vista, CA, 91915","Public district","K-6","732","22:1","Chula Vista Elementary School District"
"8","/10","Above average","Bonita Vista Senior High School","https://www.greatschools.org/california/chula-vista/6279-Bonita-Vista-Senior-High-School/","751 Otay Lakes Road, Chula Vista, CA, 91913","Public district","9-12","2355","23:1","Sweetwater Union High School District"
"7","/10","Above average","McMillin (Corky) Elementary School","https://www.greatschools.org/california/chula-vista/12035-McMillin-Corky-Elementary-School/","1201 Santa Cora Avenue, Chula Vista, CA, 91913","Public district","K-6","834","22:1","Chula Vista Elementary School District"
"7","/10","Above average","High Tech High Chula Vista School","https://www.greatschools.org/california/chula-vista/17476-High-Tech-High-Chula-Vista-School/","1945 Discovery Falls Drive, Chula Vista, CA, 91915","Public charter","9-12","570","15:1","Sbc - High Technical High School District"
"7","/10","Above average","Chula Vista Hills Elementary School","https://www.greatschools.org/california/chula-vista/5828-Chula-Vista-Hills-Elementary-School/","980 Buena Vista Way, Chula Vista, CA, 91910","Public district","K-6","530","20:1","Chula Vista Elementary School District"
"7","/10","Above average","Feaster (Mae L.) Charter School","https://www.greatschools.org/california/chula-vista/5833-Feaster-Mae-L.-Charter-School/","670 Flower Street, Chula Vista, CA, 91910","Public charter","K-8","1203","20:1","Chula Vista Elementary School District"
"7","/10","Above average","Tiffany (Burton C.) Elementary School","https://www.greatschools.org/california/chula-vista/5855-Tiffany-Burton-C.-Elementary-School/","1691 Elmhurst Street, Chula Vista, CA, 91913","Public district","K-6","461","19:1","Chula Vista Elementary School District"
"7","/10","Above average","Hilltop Senior High School","https://www.greatschools.org/california/chula-vista/6287-Hilltop-Senior-High-School/","555 Claire Avenue, Chula Vista, CA, 91910","Public district","9-12","2089","23:1","Sweetwater Union High School District"
"7","/10","Above average","Rancho Del Rey Middle School","https://www.greatschools.org/california/chula-vista/6294-Rancho-Del-Rey-Middle-School/","1174 East J Street, Chula Vista, CA, 91910","Public district","7-8","1757","23:1","Sweetwater Union High School District"
"6","/10","Average","High Tech Elementary Chula Vista School","https://www.greatschools.org/california/chula-vista/25634-High-Tech-Elementary-Chula-Vista-School/","1949 Discovery Falls Drive, Chula Vista, CA, 91915","Public charter","K-5","400","16:1","Sbc - High Technical High School District"
"6","/10","Average","Castle Park Elementary School","https://www.greatschools.org/california/chula-vista/5826-Castle-Park-Elementary-School/","25 Emerson Street, Chula Vista, CA, 91911","Public district","K-6","387","19:1","Chula Vista Elementary School District"
"6","/10","Average","Chula Vista Learning Community Charter School","https://www.greatschools.org/california/chula-vista/5827-Chula-Vista-Learning-Community-Charter-School/","590 K Street, Chula Vista, CA, 91911","Public charter","K-12","1510","21:1","Chula Vista Elementary School District"
"6","/10","Average","Cook (Hazel Goes) Elementary School","https://www.greatschools.org/california/chula-vista/5830-Cook-Hazel-Goes-Elementary-School/","875 Cuyamaca Avenue, Chula Vista, CA, 91911","Public district","K-6","354","18:1","Chula Vista Elementary School District"
"6","/10","Average","Halecrest Elementary School","https://www.greatschools.org/california/chula-vista/5835-Halecrest-Elementary-School/","475 East J Street, Chula Vista, CA, 91910","Public district","K-6","481","19:1","Chula Vista Elementary School District"
"6","/10","Average","Hilltop Drive Elementary School","https://www.greatschools.org/california/chula-vista/5837-Hilltop-Drive-Elementary-School/","30 Murray Street, Chula Vista, CA, 91910","Public district","K-6","527","20:1","Chula Vista Elementary School District"
"6","/10","Average","Kellogg (Karl H.) Elementary School","https://www.greatschools.org/california/chula-vista/5839-Kellogg-Karl-H.-Elementary-School/","229 East Naples Street, Chula Vista, CA, 91911","Public district","K-6","335","20:1","Chula Vista Elementary School District"
"6","/10","Average","Lauderbach (J. Calvin) Elementary School","https://www.greatschools.org/california/chula-vista/5840-Lauderbach-J.-Calvin-Elementary-School/","390 Palomar Street, Chula Vista, CA, 91911","Public district","K-6","768","22:1","Chula Vista Elementary School District"
"6","/10","Average","Loma Verde Elementary School","https://www.greatschools.org/california/chula-vista/5841-Loma-Verde-Elementary-School/","1450 Loma Lane, Chula Vista, CA, 91911","Public district","K-6","491","19:1","Chula Vista Elementary School District"
"6","/10","Average","Montgomery (John J.) Elementary School","https://www.greatschools.org/california/chula-vista/5843-Montgomery-John-J.-Elementary-School/","1601 4th Avenue, Chula Vista, CA, 91911","Public district","K-6","322","20:1","Chula Vista Elementary School District"
"6","/10","Average","Mueller Charter (Robert L.) School","https://www.greatschools.org/california/chula-vista/5844-Mueller-Charter-Robert-L.-School/","715 I Street, Chula Vista, CA, 91910","Public charter","K-12","1566","20:1","Chula Vista Elementary School District"
"6","/10","Average","Otay Elementary School","https://www.greatschools.org/california/chula-vista/5846-Otay-Elementary-School/","1651 Albany Avenue, Chula Vista, CA, 91911","Public district","K-6","576","19:1","Chula Vista Elementary School District"
