"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"9","/10","Above average","Literacy First Charter School","https://www.greatschools.org/california/el-cajon/12032-Literacy-First-Charter-School/","799 East Washington Avenue, El Cajon, CA, 92020","Public charter","K-12","1678","17:1","San Diego County Office Of Education School District"
"9","/10","Above average","Grossmont Middle College High School","https://www.greatschools.org/california/el-cajon/12214-Grossmont-Middle-College-High-School/","8800 Grossmont College Drive, El Cajon, CA, 92020","Public district","11-12","59","36:1","Grossmont Union High School District"
"8","/10","Above average","Fuerte Elementary School","https://www.greatschools.org/california/el-cajon/5809-Fuerte-Elementary-School/","11625 Fuerte Drive, El Cajon, CA, 92020","Public district","K-5","670","25:1","Cajon Valley Union School District"
"8","/10","Above average","Valhalla High School","https://www.greatschools.org/california/el-cajon/5931-Valhalla-High-School/","1725 Hillsdale Road, El Cajon, CA, 92019","Public district","9-12","2099","23:1","Grossmont Union High School District"
"8","/10","Above average","Fletcher Hills Elementary School","https://www.greatschools.org/california/el-cajon/5960-Fletcher-Hills-Elementary-School/","2330 Center Place, El Cajon, CA, 92020","Public district","K-6","656","27:1","La Mesa-Spring Valley School District"
"7","/10","Above average","Los Coches Creek Middle School","https://www.greatschools.org/california/el-cajon/16871-Los-Coches-Creek-Middle-School/","9669 Dunbar Lane, El Cajon, CA, 92021","Public district","6-8","785","24:1","Cajon Valley Union School District"
"7","/10","Above average","Blossom Valley Elementary School","https://www.greatschools.org/california/el-cajon/5801-Blossom-Valley-Elementary-School/","9863 Oakmont Terrace, El Cajon, CA, 92021","Public district","K-5","542","24:1","Cajon Valley Union School District"
"7","/10","Above average","Rancho San Diego Elementary School","https://www.greatschools.org/california/el-cajon/5821-Rancho-San-Diego-Elementary-School/","12151 Calle Albara, El Cajon, CA, 92019","Public district","K-5","604","25:1","Cajon Valley Union School District"
"6","/10","Average","Eje Elementary Academy Charter","https://www.greatschools.org/california/el-cajon/13679-Eje-Elementary-Academy-Charter/","851 South Johnson Avenue, El Cajon, CA, 92020","Public charter","K-5","560","20:1","Cajon Valley Union School District"
"6","/10","Average","Eje Middle Academy","https://www.greatschools.org/california/el-cajon/25114-Eje-Middle-Academy/","851 South Johnson Avenue, El Cajon, CA, 92020","Public charter","6-8","242","23:1","Cajon Valley Union School District"
"6","/10","Average","Bostonia Elementary School","https://www.greatschools.org/california/el-cajon/5802-Bostonia-Elementary-School/","1390 Broadway, El Cajon, CA, 92021","Public district","K-5","587","24:1","Cajon Valley Union School District"
"6","/10","Average","Hillsdale Middle School","https://www.greatschools.org/california/el-cajon/5812-Hillsdale-Middle-School/","1301 Brabham Street, El Cajon, CA, 92019","Public district","6-8","1532","25:1","Cajon Valley Union School District"
"6","/10","Average","Jamacha Elementary School","https://www.greatschools.org/california/el-cajon/5813-Jamacha-Elementary-School/","2962 Jamul Drive, El Cajon, CA, 92019","Public district","K-5","453","23:1","Cajon Valley Union School District"
"6","/10","Average","Vista Grande Elementary School","https://www.greatschools.org/california/el-cajon/5823-Vista-Grande-Elementary-School/","1908 Vista Grande Road, El Cajon, CA, 92019","Public district","K-5","606","25:1","Cajon Valley Union School District"
"6","/10","Average","Granite Hills High School","https://www.greatschools.org/california/el-cajon/5925-Granite-Hills-High-School/","1719 East Madison Avenue, El Cajon, CA, 92019","Public district","9-12","2294","23:1","Grossmont Union High School District"
"6","/10","Average","Pepper Drive Elementary School","https://www.greatschools.org/california/el-cajon/6069-Pepper-Drive-Elementary-School/","1935 Marlinda Way, El Cajon, CA, 92021","Public district","K-8","968","28:1","Santee School District"
"5","/10","Average","Anza Elementary School","https://www.greatschools.org/california/el-cajon/5798-Anza-Elementary-School/","1005 South Anza Street, El Cajon, CA, 92020","Public district","K-5","554","24:1","Cajon Valley Union School District"
"5","/10","Average","Crest Elementary School","https://www.greatschools.org/california/el-cajon/5805-Crest-Elementary-School/","2000 Suncrest Boulevard, El Cajon, CA, 92021","Public district","K-5","113","22:1","Cajon Valley Union School District"
"5","/10","Average","Flying Hills Elementary School","https://www.greatschools.org/california/el-cajon/5808-Flying-Hills-Elementary-School/","1251 Finch Street, El Cajon, CA, 92020","Public district","K-6","555","25:1","Cajon Valley Union School District"
"5","/10","Average","Madison Avenue Elementary School","https://www.greatschools.org/california/el-cajon/5816-Madison-Avenue-Elementary-School/","1615 East Madison Avenue, El Cajon, CA, 92019","Public district","K-5","600","23:1","Cajon Valley Union School District"
"4","/10","Below average","Methodschools","https://www.greatschools.org/california/el-cajon/32159-Methodschools/","24620 Jefferson Avenue, Murrieta, CA 92562, El Cajon, CA, 92019","Public charter","K-12","100","8:1","Dehesa Elementary School District"
"4","/10","Below average","Mosaica Online Academy Of Southern California","https://www.greatschools.org/california/el-cajon/32160-Mosaica-Online-Academy-Of-Southern-California/","4612 Dehesa Road, El Cajon, CA, 92019","Public charter","K-12","2550","21:1","Dehesa Elementary School District"
"4","/10","Below average","Inspire Charter School - South","https://www.greatschools.org/california/el-cajon/32161-Inspire-Charter-School---South/","4612 Dehesa Road, El Cajon, CA, 92019","Public charter","K-12","4466","22:1","Dehesa Elementary School District"
"4","/10","Below average","Pacific Coast Academy","https://www.greatschools.org/california/el-cajon/32703-Pacific-Coast-Academy/","353 East Park Avenue Suite 201, El Cajon, CA, 92020","Public charter","K-12","2797","10:1","Dehesa Elementary School District"
"4","/10","Below average","Montgomery Middle School","https://www.greatschools.org/california/el-cajon/5819-Montgomery-Middle-School/","1570 Melody Lane, El Cajon, CA, 92019","Public district","6-8","913","26:1","Cajon Valley Union School District"
"4","/10","Below average","Dehesa School","https://www.greatschools.org/california/el-cajon/5874-Dehesa-School/","4612 Dehesa Road, El Cajon, CA, 92019","Public district","K-8","137","16:1","Dehesa Elementary School District"
"3","/10","Below average","Idea Center","https://www.greatschools.org/california/el-cajon/32164-Idea-Center/","1600 Cuyamaca Street, El Cajon, CA, 92020","Public district","9-12","177","9:1","Grossmont Union High School District"
