"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"9","/10","Above average","Classical Academy High School","https://www.greatschools.org/california/escondido/17083-Classical-Academy-High-School/","207 East Pennsylvania Avenue, Escondido, CA, 92025","Public charter","9-12","1205","20:1","Escondido Union High School District"
"9","/10","Above average","Del Lago Academy - Campus Of Applied Science","https://www.greatschools.org/california/escondido/31095-Del-Lago-Academy---Campus-Of-Applied-Science/","1740 Scenic Trail Way, Escondido, CA, 92029","Public district","9-12","822","23:1","Escondido Union High School District"
"7","/10","Above average","Heritage K-8 Charter School","https://www.greatschools.org/california/escondido/12440-Heritage-K-8-Charter-School/","1855 East Valley Parkway, Escondido, CA, 92027","Public charter","K-8","1179","21:1","Escondido Union School District"
"7","/10","Above average","Bernardo Elementary School","https://www.greatschools.org/california/escondido/14621-Bernardo-Elementary-School/","1122 Mountain Heights Drive, Escondido, CA, 92029","Public district","K-5","580","22:1","Escondido Union School District"
"7","/10","Above average","Quantum Academy","https://www.greatschools.org/california/escondido/32162-Quantum-Academy/","420 Falconer Road, Escondido, CA, 92027","Public district","4-8","305","24:1","Escondido Union School District"
"7","/10","Above average","L. R. Green Elementary School","https://www.greatschools.org/california/escondido/5894-L.-R.-Green-Elementary-School/","3115 Las Palmas Avenue, Escondido, CA, 92025","Public district","K-5","804","20:1","Escondido Union School District"
"7","/10","Above average","Escondido Charter High School","https://www.greatschools.org/california/escondido/5906-Escondido-Charter-High-School/","1868 East Valley Parkway, Escondido, CA, 92027","Public charter","9-12","856","15:1","Escondido Union High School District"
"6","/10","Average","Classical Academy","https://www.greatschools.org/california/escondido/12038-Classical-Academy/","2950 South Bear Valley Parkway, Escondido, CA, 92025","Public charter","K-8","1299","31:1","Escondido Union School District"
"6","/10","Average","Community Montessori Charter","https://www.greatschools.org/california/escondido/31092-Community-Montessori-Charter/","1441 Montiel Road, Escondido, CA, 92026","Public charter","K-8","705","24:1","Community Montessori District"
"6","/10","Average","Glen View Elementary School","https://www.greatschools.org/california/escondido/5892-Glen-View-Elementary-School/","2201 East Mission Avenue, Escondido, CA, 92027","Public district","K-5","666","22:1","Escondido Union School District"
"6","/10","Average","Miller Elementary School","https://www.greatschools.org/california/escondido/5898-Miller-Elementary-School/","1975 Miller Avenue, Escondido, CA, 92025","Public district","K-5","419","19:1","Escondido Union School District"
"6","/10","Average","San Pasqual High School","https://www.greatschools.org/california/escondido/5909-San-Pasqual-High-School/","3300 Bear Valley Parkway, Escondido, CA, 92025","Public district","9-12","2191","23:1","Escondido Union High School District"
"6","/10","Average","San Pasqual Union Elementary School","https://www.greatschools.org/california/escondido/6276-San-Pasqual-Union-Elementary-School/","15305 Rockwood Road, Escondido, CA, 92027","Public district","K-8","584","18:1","San Pasqual Union Elementary School District"
"5","/10","Average","Bear Valley Middle School","https://www.greatschools.org/california/escondido/14400-Bear-Valley-Middle-School/","3003 Bear Valley Parkway, Escondido, CA, 92025","Public district","6-8","1031","22:1","Escondido Union School District"
"5","/10","Average","Reidy Creek Elementary School","https://www.greatschools.org/california/escondido/14617-Reidy-Creek-Elementary-School/","2869 North Broadway, Escondido, CA, 92026","Public district","K-5","651","20:1","Escondido Union School District"
"5","/10","Average","Conway Elementary School","https://www.greatschools.org/california/escondido/5889-Conway-Elementary-School/","1325 Conway Drive, Escondido, CA, 92027","Public district","K-5","531","24:1","Escondido Union School District"
"5","/10","Average","Del Dios Middle School","https://www.greatschools.org/california/escondido/5890-Del-Dios-Middle-School/","1400 West 9th Avenue, Escondido, CA, 92029","Public district","6-8","784","21:1","Escondido Union School District"
"5","/10","Average","North Broadway Elementary School","https://www.greatschools.org/california/escondido/5899-North-Broadway-Elementary-School/","2301 North Broadway, Escondido, CA, 92026","Public district","K-5","590","20:1","Escondido Union School District"
"5","/10","Average","Rose Elementary School","https://www.greatschools.org/california/escondido/5905-Rose-Elementary-School/","906 North Rose Street, Escondido, CA, 92027","Public district","K-5","524","23:1","Escondido Union School District"
"5","/10","Average","Escondido High School","https://www.greatschools.org/california/escondido/5907-Escondido-High-School/","1535 North Broadway, Escondido, CA, 92026","Public district","9-12","2244","22:1","Escondido Union High School District"
"4","/10","Below average","Dehesa Charter School","https://www.greatschools.org/california/escondido/12036-Dehesa-Charter-School/","1441 Montiel Road, Suite 143, Escondido, CA, 92026","Public charter","K-12","464","17:1","Dehesa Elementary School District"
"4","/10","Below average","Farr Avenue Elementary School","https://www.greatschools.org/california/escondido/14474-Farr-Avenue-Elementary-School/","933 Farr Avenue, Escondido, CA, 92026","Public district","K-5","614","20:1","Escondido Union School District"
"4","/10","Below average","Felicita Elementary School","https://www.greatschools.org/california/escondido/5891-Felicita-Elementary-School/","737 West 13th Avenue, Escondido, CA, 92025","Public district","K-5","541","23:1","Escondido Union School District"
"4","/10","Below average","Mission Middle School","https://www.greatschools.org/california/escondido/5893-Mission-Middle-School/","939 East Mission Avenue, Escondido, CA, 92025","Public district","6-8","992","22:1","Escondido Union School District"
"4","/10","Below average","Hidden Valley Middle School","https://www.greatschools.org/california/escondido/5895-Hidden-Valley-Middle-School/","2700 Reed Road, Escondido, CA, 92027","Public district","6-8","943","20:1","Escondido Union School District"
"4","/10","Below average","Juniper Elementary School","https://www.greatschools.org/california/escondido/5896-Juniper-Elementary-School/","1809 South Juniper Street, Escondido, CA, 92025","Public district","K-5","625","19:1","Escondido Union School District"
"4","/10","Below average","Oak Hill Elementary School","https://www.greatschools.org/california/escondido/5900-Oak-Hill-Elementary-School/","1820 Oak Hill Drive, Escondido, CA, 92027","Public district","K-5","719","23:1","Escondido Union School District"
"4","/10","Below average","Orange Glen Elementary School","https://www.greatschools.org/california/escondido/5901-Orange-Glen-Elementary-School/","2861 Valley Parkway, Escondido, CA, 92027","Public district","K-5","622","20:1","Escondido Union School District"
"4","/10","Below average","Pioneer Elementary School","https://www.greatschools.org/california/escondido/5902-Pioneer-Elementary-School/","980 North Ash Street, Escondido, CA, 92027","Public district","K-5","695","21:1","Escondido Union School District"
"4","/10","Below average","Rincon Middle School","https://www.greatschools.org/california/escondido/5903-Rincon-Middle-School/","925 Lehner Avenue, Escondido, CA, 92026","Public district","6-8","1135","20:1","Escondido Union School District"
"4","/10","Below average","Orange Glen High School","https://www.greatschools.org/california/escondido/5908-Orange-Glen-High-School/","2200 Glenridge Road, Escondido, CA, 92027","Public district","9-12","1808","22:1","Escondido Union High School District"
"3","/10","Below average","Epiphany Prep Charter","https://www.greatschools.org/california/escondido/32446-Epiphany-Prep-Charter/","725 North Escondido Boulevard, Escondido, CA, 92025","Public charter","K-8","618","20:1","Escondido Union School District"
"3","/10","Below average","Central Elementary School","https://www.greatschools.org/california/escondido/5888-Central-Elementary-School/","122 West 4th Avenue, Escondido, CA, 92025","Public district","K-5","597","20:1","Escondido Union School District"
"3","/10","Below average","Lincoln Elementary School","https://www.greatschools.org/california/escondido/5897-Lincoln-Elementary-School/","1029 North Broadway, Escondido, CA, 92026","Public district","K-5","499","21:1","Escondido Union School District"
"3","/10","Below average","Rock Springs Elementary School","https://www.greatschools.org/california/escondido/5904-Rock-Springs-Elementary-School/","1155 Deodar Road, Escondido, CA, 92026","Public district","K-5","510","18:1","Escondido Union School District"
"1","/10","Below average","Audeo Charter School III","https://www.greatschools.org/california/escondido/32706-Audeo-Charter-School-Iii/","200 East Via Rancho Parkway, Escondido, CA, 92025","Public charter","6-12","88","N/A","Audeo Charter School III District"
