"circle-rating--small","rating-circle-small","scale","name","address","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 6","tablescraper-selected-row href 2"
"10","/10","Above average","Carmel Valley Middle School","3800 Mykonos Lane, San Diego, CA, 92130","7-8","1135","27:1","https://www.greatschools.org/california/san-diego/11118-Carmel-Valley-Middle-School/reviews/","San Dieguito Union High School District","https://www.greatschools.org/california/san-diego/san-dieguito-union-high-school-district/"
"10","/10","Above average","Westview High School","13500 Camino Del Sur, San Diego, CA, 92129","9-12","2384","26:1","https://www.greatschools.org/california/san-diego/12216-Westview-High-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"10","/10","Above average","Canyon Crest Academy","5951 Village Center Loop Road, San Diego, CA, 92130","9-12","2572","27:1","https://www.greatschools.org/california/san-diego/14326-Canyon-Crest-Academy/reviews/","San Dieguito Union High School District","https://www.greatschools.org/california/san-diego/san-dieguito-union-high-school-district/"
"10","/10","Above average","Del Norte High School","16601 Nighthawk Lane, San Diego, CA, 92127","9-12","2351","26:1","https://www.greatschools.org/california/san-diego/25002-Del-Norte-High-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"10","/10","Above average","Elevate Elementary","2285 Murray Ridge Road, San Diego, CA, 92123","K-5","319","21:1","https://www.greatschools.org/california/san-diego/32174-Elevate-Elementary/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"10","/10","Above average","Pacific Trails Middle","5975 Village Center Loop Road, San Diego, CA, 92130","7-8","723","27:1","https://www.greatschools.org/california/san-diego/32178-Pacific-Trails-Middle/#Reviews","San Dieguito Union High School District","https://www.greatschools.org/california/san-diego/san-dieguito-union-high-school-district/"
"10","/10","Above average","Hearst Elementary School","6230 Del Cerro Boulevard, San Diego, CA, 92120","K-5","513","23:1","https://www.greatschools.org/california/san-diego/6158-Hearst-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"10","/10","Above average","Ocean Beach Elementary School","4741 Santa Monica Avenue, San Diego, CA, 92107","K-4","409","20:1","https://www.greatschools.org/california/san-diego/6214-Ocean-Beach-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"10","/10","Above average","Scripps Ranch High School","10410 Falcon Way, San Diego, CA, 92131","9-12","2179","26:1","https://www.greatschools.org/california/san-diego/6233-Scripps-Ranch-High-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"10","/10","Above average","Carmel Creek Elementary School","4210 Carmel Center Road, San Diego, CA, 92130","K-3","346","13:1","https://www.greatschools.org/california/san-diego/6271-Carmel-Creek-Elementary-School/reviews/","Solana Beach Elementary School District","https://www.greatschools.org/california/san-diego/solana-beach-elementary-school-district/"
"9","/10","Above average","Mt. Everest Academy","4350 Mount Everest Boulevard, San Diego, CA, 92117","K-12","266","18:1","https://www.greatschools.org/california/san-diego/11109-Mt.-Everest-Academy/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Sage Canyon School","5290 Harvest Run Drive, San Diego, CA, 92130","K-6","657","18:1","https://www.greatschools.org/california/san-diego/11832-Sage-Canyon-School/#Reviews","Del Mar Union Elementary School District","https://www.greatschools.org/california/san-diego/del-mar-union-elementary-school-district/"
"9","/10","Above average","Creekside Elementary School","12362 Springhurst Drive, San Diego, CA, 92128","K-5","575","23:1","https://www.greatschools.org/california/san-diego/11836-Creekside-Elementary-School/#Reviews","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Scripps Elementary School","11778 Cypress Canyon Road, San Diego, CA, 92131","K-5","736","23:1","https://www.greatschools.org/california/san-diego/12041-Scripps-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Torrey Hills School","10830 Calle Mar De Mariposa, San Diego, CA, 92130","K-6","549","17:1","https://www.greatschools.org/california/san-diego/12213-Torrey-Hills-School/reviews/","Del Mar Union Elementary School District","https://www.greatschools.org/california/san-diego/del-mar-union-elementary-school-district/"
"9","/10","Above average","Solana Pacific Elementary School","3901 Townsgate Drive, San Diego, CA, 92130","4-6","519","19:1","https://www.greatschools.org/california/san-diego/13714-Solana-Pacific-Elementary-School/reviews/","Solana Beach Elementary School District","https://www.greatschools.org/california/san-diego/solana-beach-elementary-school-district/"
"9","/10","Above average","Kearny Digital Media & Design School","1954 Komet Way, San Diego, CA, 92111","9-12","384","23:1","https://www.greatschools.org/california/san-diego/14167-Kearny-Digital-Media--Design-School/#Reviews","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
