"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"8","/10","Above average","River Valley Charter School","https://www.greatschools.org/california/lakeside/11105-River-Valley-Charter-School/","9707 1/2 Marilla Drive, Lakeside, CA, 92040","Public charter","7-12","325","26:1","Lakeside Union Elementary School District"
"8","/10","Above average","Lakeview Elementary School","https://www.greatschools.org/california/lakeside/5943-Lakeview-Elementary-School/","9205 Lakeview Road, Lakeside, CA, 92040","Public district","K-5","720","20:1","Lakeside Union Elementary School District"
"8","/10","Above average","Riverview Elementary School","https://www.greatschools.org/california/lakeside/5946-Riverview-Elementary-School/","9308 Winter Gardens Boulevard, Lakeside, CA, 92040","Public district","1-5","608","22:1","Lakeside Union Elementary School District"
"7","/10","Above average","Lakeside Farms Elementary School","https://www.greatschools.org/california/lakeside/5941-Lakeside-Farms-Elementary-School/","11915 Lakeside Avenue, Lakeside, CA, 92040","Public district","K-5","655","20:1","Lakeside Union Elementary School District"
"6","/10","Average","El Capitan High School","https://www.greatschools.org/california/lakeside/5924-El-Capitan-High-School/","10410 Ashwood Street, Lakeside, CA, 92040","Public district","9-12","1659","20:1","Grossmont Union High School District"
"5","/10","Average","Lakeside Middle School","https://www.greatschools.org/california/lakeside/5942-Lakeside-Middle-School/","11833 Woodside Avenue, Lakeside, CA, 92040","Public district","6-8","814","24:1","Lakeside Union Elementary School District"
"5","/10","Average","Lindo Park Elementary School","https://www.greatschools.org/california/lakeside/5945-Lindo-Park-Elementary-School/","12824 Lakeshore Drive, Lakeside, CA, 92040","Public district","K-5","468","20:1","Lakeside Union Elementary School District"
"4","/10","Below average","Lemon Crest Elementary School","https://www.greatschools.org/california/lakeside/5944-Lemon-Crest-Elementary-School/","12463 Lemon Crest Drive, Lakeside, CA, 92040","Public district","K-5","551","20:1","Lakeside Union Elementary School District"
"4","/10","Below average","Tierra Del Sol Middle School","https://www.greatschools.org/california/lakeside/5947-Tierra-Del-Sol-Middle-School/","9611 Petite Lane, Lakeside, CA, 92040","Public district","6-8","774","23:1","Lakeside Union Elementary School District"
"2","/10","Below average","Barona Indian Charter School","https://www.greatschools.org/california/lakeside/12215-Barona-Indian-Charter-School/","1095 Barona Road, Lakeside, CA, 92040","Public charter","PK-8","91","15:1","Lakeside Union Elementary School District"
"","","Currently unrated","Eucalyptus Hills Elementary","https://www.greatschools.org/california/lakeside/31197-Eucalyptus-Hills-Elementary/","11838 Valle Vista Road, Lakeside, CA, 92040","Public district","K","116","22:1","Lakeside Union Elementary School District"
"","","Currently unrated","Lakeside Early Advantage Preschool","https://www.greatschools.org/california/lakeside/32165-Lakeside-Early-Advantage-Preschool/","12824 Lakeshore Drive, Lakeside, CA, 92040","Public district","Ungraded","25:1","N/A","Lakeside Union Elementary School District"
"","","Currently unrated","Lakeside Union Alternative Education","https://www.greatschools.org/california/lakeside/32869-Lakeside-Union-Alternative-Education/","9308 Winter Gardens Boulevard, Lakeside, CA, 92040","Public district","Ungraded","N/A","N/A","Lakeside Union Elementary School District"
"","","Currently unrated","Winter Gardens Elementary School","https://www.greatschools.org/california/lakeside/5948-Winter-Gardens-Elementary-School/","8501 Pueblo Road, Lakeside, CA, 92040","Public district","K-1","365","23:1","Lakeside Union Elementary School District"
