"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4"
"9","/10","Above average","Mountain Valley Academy","https://www.greatschools.org/california/ramona/11107-Mountain-Valley-Academy/","1010 Ramona Street, Ramona, CA, 92065","K-12","222","23:1"
"7","/10","Above average","James Dukes Elementary School","https://www.greatschools.org/california/ramona/6056-James-Dukes-Elementary-School/","24908 Abalar Way, Ramona, CA, 92065","K-6","545","22:1"
"7","/10","Above average","Ramona High School","https://www.greatschools.org/california/ramona/6061-Ramona-High-School/","1401 Hanson Lane, Ramona, CA, 92065","9-12","1517","22:1"
"6","/10","Average","Ramona Community Montessori","https://www.greatschools.org/california/ramona/31816-Ramona-Community-Montessori/","1010 Ramona Street, Ramona, CA, 92065","K-6","259","24:1"
"5","/10","Average","Barnett Elementary School","https://www.greatschools.org/california/ramona/6054-Barnett-Elementary-School/","23925 Couna Way, Ramona, CA, 92065","K-6","457","24:1"
"5","/10","Average","Olive Peirce Middle School","https://www.greatschools.org/california/ramona/6059-Olive-Peirce-Middle-School/","1521 Hanson Lane, Ramona, CA, 92065","7-8","865","25:1"
"4","/10","Below average","Hanson Elementary School","https://www.greatschools.org/california/ramona/6055-Hanson-Elementary-School/","2520 Boundary Avenue, Ramona, CA, 92065","K-6","536","24:1"
"4","/10","Below average","Mt. Woodson Elementary School","https://www.greatschools.org/california/ramona/6058-Mt.-Woodson-Elementary-School/","17427 Archie Moore Road, Ramona, CA, 92065","K-6","458","24:1"
"3","/10","Below average","Ramona Elementary School","https://www.greatschools.org/california/ramona/6060-Ramona-Elementary-School/","415 8th Street, Ramona, CA, 92065","K-6","446","28:1"
"2","/10","Below average","Future Bound Independent Study Secondary School","https://www.greatschools.org/california/ramona/12633-Future-Bound-Independent-Study-Secondary-School/","720 9th Street, Ramona, CA, 92065","7-12","23","19:1"
"2","/10","Below average","Montecito High (Continuation) School","https://www.greatschools.org/california/ramona/6057-Montecito-High-Continuation-School/","720 9th Street, Ramona, CA, 92065","9-12","137","23:1"
"","","Currently unrated","Ramona Adult","https://www.greatschools.org/california/ramona/14778-Ramona-Adult/","720 Ninth Street, Ramona, CA, 92065","Ungraded","N/A","N/A"
