"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"9","/10","Above average","Double Peak K-8","https://www.greatschools.org/california/san-marcos/32388-Double-Peak-K-8/","111 San Elijo Road, San Marcos, CA, 92078","Public district","K-8","1286","25:1","San Marcos Unified School District"
"8","/10","Above average","San Elijo Middle School","https://www.greatschools.org/california/san-marcos/13780-San-Elijo-Middle-School/","1600 Schoolhouse Way, San Marcos, CA, 92078","Public district","6-8","1838","28:1","San Marcos Unified School District"
"8","/10","Above average","San Elijo Elementary School","https://www.greatschools.org/california/san-marcos/17072-San-Elijo-Elementary-School/","1615 Schoolhouse Way, San Marcos, CA, 92078","Public district","K-5","1053","24:1","San Marcos Unified School District"
"8","/10","Above average","High Tech High North County School","https://www.greatschools.org/california/san-marcos/17469-High-Tech-High-North-County-School/","1420 San Marcos Boulevard, San Marcos, CA, 92078","Public charter","9-12","398","14:1","Sbc - High Technical High School District"
"8","/10","Above average","Discovery Elementary School","https://www.greatschools.org/california/san-marcos/6259-Discovery-Elementary-School/","730 Applewilde Drive, San Marcos, CA, 92078","Public district","K-5","574","24:1","San Marcos Unified School District"
"8","/10","Above average","Paloma Elementary School","https://www.greatschools.org/california/san-marcos/6263-Paloma-Elementary-School/","660 Camino Magnifico, San Marcos, CA, 92069","Public district","K-5","873","22:1","San Marcos Unified School District"
"8","/10","Above average","Richland Elementary","https://www.greatschools.org/california/san-marcos/6264-Richland-Elementary/","910 Borden Road, San Marcos, CA, 92069","Public district","K-5","787","23:1","San Marcos Unified School District"
"7","/10","Above average","Knob Hill Elementary School","https://www.greatschools.org/california/san-marcos/6261-Knob-Hill-Elementary-School/","1825 Knob Hill Road, San Marcos, CA, 92069","Public district","K-5","835","21:1","San Marcos Unified School District"
"7","/10","Above average","San Marcos High School","https://www.greatschools.org/california/san-marcos/6266-San-Marcos-High-School/","1615 West San Marcos Boulevard, San Marcos, CA, 92078","Public district","9-12","3439","37:1","San Marcos Unified School District"
"6","/10","Average","Mission Hills High School","https://www.greatschools.org/california/san-marcos/13848-Mission-Hills-High-School/","1 Mission Hills Court, San Marcos, CA, 92069","Public district","9-12","2626","29:1","San Marcos Unified School District"
"6","/10","Average","High Tech Middle North County School","https://www.greatschools.org/california/san-marcos/25134-High-Tech-Middle-North-County-School/","1460 West San Marcos Boulevard, San Marcos, CA, 92078","Public charter","6-8","331","19:1","Sbc - High Technical High School District"
"6","/10","Average","Community Collaborative Virtual - Sage Oak Charter","https://www.greatschools.org/california/san-marcos/32689-Community-Collaborative-Virtual---Sage-Oak-Charter/","1782 La Costa Meadows Drive, Suite 102, San Marcos, CA, 92078","Public charter","K-12","2428","N/A","Helendale Elementary School District"
"6","/10","Average","Twin Oaks Elementary School","https://www.greatschools.org/california/san-marcos/6269-Twin-Oaks-Elementary-School/","1 Cassou Road, San Marcos, CA, 92069","Public district","K-5","651","30:1","San Marcos Unified School District"
"6","/10","Average","Woodland Park Middle School","https://www.greatschools.org/california/san-marcos/6270-Woodland-Park-Middle-School/","1270 Rock Springs Road, San Marcos, CA, 92069","Public district","6-8","1381","31:1","San Marcos Unified School District"
"5","/10","Average","High Tech Elementary North County","https://www.greatschools.org/california/san-marcos/31113-High-Tech-Elementary-North-County/","1480 West San Marcos Boulevard, San Marcos, CA, 92078","Public charter","K-5","396","15:1","Sbc - High Technical High School District"
"5","/10","Average","Community Collaborative Virtual - Keppel Partnership Academy","https://www.greatschools.org/california/san-marcos/32604-Community-Collaborative-Virtual---Keppel-Partnership-Academy/","1782 La Costa Meadows Drive, San Marcos, CA, 92078","Public charter","K-12","141","N/A","COM Collaborative Virtual - Keppel Partnership ACAD District"
"5","/10","Average","San Marcos Elementary School","https://www.greatschools.org/california/san-marcos/6265-San-Marcos-Elementary-School/","1 Tiger Way, San Marcos, CA, 92069","Public district","K-5","772","28:1","San Marcos Unified School District"
"5","/10","Average","San Marcos Middle School","https://www.greatschools.org/california/san-marcos/6267-San-Marcos-Middle-School/","650 West Mission Road, San Marcos, CA, 92069","Public district","6-8","1132","25:1","San Marcos Unified School District"
"4","/10","Below average","Community Collaborative Charter","https://www.greatschools.org/california/acton/32099-Community-Collaborative-Charter/","100 East San Marcos Boulevard, San Marcos, CA, 92069","Public charter","K-12","541","N/A","Community Collaborative Charter District - Acton-Agua Dulce"
"3","/10","Below average","La Mirada Academy","https://www.greatschools.org/california/san-marcos/6260-Alvin-M.-Dunn-Elementary-School/","3697 La Mirada Drive, San Marcos, CA, 92078","Public district","K-8","931","23:1","San Marcos Unified School District"
"2","/10","Below average","Foothills High School","https://www.greatschools.org/california/san-marcos/11127-Foothills-High-School/","158 Cassou Road, San Marcos, CA, 92069","Public district","9-12","118","54:1","San Marcos Unified School District"
"2","/10","Below average","Twin Oaks High School","https://www.greatschools.org/california/san-marcos/6268-Twin-Oaks-High-School/","158 Cassou Road, San Marcos, CA, 92069","Public district","9-12","163","13:1","San Marcos Unified School District"
