hospital_name,address
Sharp Memorial Hospital,"7901 Frost Street  San Diego, CA 92123-2701"
Sharp Mary Birch Hospital,"3003 Health Center Drive  San Diego, CA 92123"
Kaiser Foundation Hospital,"4647 Zion Avenue  San Diego, CA 92120-2507"
Kindred Hospital-San Diego,"1940 El Cajon Boulevard  San Diego, CA 92104-1096"
San Diego Hospice,"4311 Third Avenue  San Diego, CA 92103-7499"
Univ of CA San Diego Med Ctr,"200 West Arbor Drive  San Diego, CA 92103-8970"
Scripps Mercy Hospital,"4077 Fifth Avenue  San Diego, CA 92103-2105"
Continental Rehab Hospital,"555 Washington Street  San Diego, CA 92103"
Alvarado Hosp Medical Center,"6655 Alvarado Road  San Diego, CA 92120-5208"
Promise Hospital of San Diego,"5550 University Avenue  San Diego, CA 92105-2307"
San Diego Cnty Psych Hospital,"3853 Rosecrans Street  San Diego, CA 92110-3115"
Naval Medical Center,"34800 Bob Wilson Drive  San Diego, CA 92134-5000"
Rady Children Hosp & Hlth Ctr,"3020 Children's Way  San Diego, CA 92123-4282"
VA San Diego Healthcare System,"3350 Lajolla Village Drive  San Diego, CA 92161-0002"
Scripps Mem Hosp-La Jolla,"9888 Genesee Avenue  La Jolla, CA 92037-1200"
Sharp Grossmont Hospital,"5555 Grossmont Center Drive  La Mesa, CA 91942-3019"
Sharp Coronado Hospital,"250 Prospect Place  Coronado, CA 92118-1943"
Scripps Green Hospital,"10666 North Torrey Pines Road  La Jolla, CA 92037-1093"
Paradise Valley Hospital,"2400 East Fourth Street  National City, CA 91950-2099"
Aurora San Diego Hospital,"11878 Avenue Of Industry  San Diego, CA 92128-3423"
Pomerado Hospital,"15615 Pomerado Road  Poway, CA 92064-2460"
Bayview Hosp & Mental System,"330 Moss Street  Chula Vista, CA 91911-2005"
Sharp Chula Vista Med Ctr,"751 Medical Center Court  Chula Vista, CA 91911-6617"
Scripps Mem Hospital-Encinitas,"354 Santa Fe Drive  Encinitas, CA 92024-5182"
Palomar Medical Center,"555 East Valley Parkway  Escondido, CA 92025-3084"
Tri-City Medical Center,"4002 Vista Way  Oceanside, CA 92056-4506"
