"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"10","/10","Above average","Mission Vista High School","https://www.greatschools.org/california/oceanside/25014-Mission-Vista-High-School/","1306 Melrose Drive, Oceanside, CA, 92057","Public district","9-12","1693","25:1","Vista Unified School District"
"9","/10","Above average","Mary Fay Pendleton Elementary School","https://www.greatschools.org/california/oceanside/5917-Mary-Fay-Pendleton-Elementary-School/","110 Marine Drive, Oceanside, CA, 92058","Public district","K-8","843","21:1","Fallbrook Union Elementary School District"
"8","/10","Above average","Bonsall West Elementary School","https://www.greatschools.org/california/oceanside/14993-Bonsall-West-Elementary-School/","5050 El Mirlo Drive, Oceanside, CA, 92057","Public district","K-6","537","20:1","Bonsall Unified School District"
"8","/10","Above average","Ivey Ranch Elementary School","https://www.greatschools.org/california/oceanside/6004-Ivey-Ranch-Elementary-School/","4275 Via Rancho Road, Oceanside, CA, 92057","Public district","K-5","700","23:1","Oceanside Unified School District"
"8","/10","Above average","North Terrace Elementary School","https://www.greatschools.org/california/oceanside/6012-North-Terrace-Elementary-School/","141 Santa Rosa Drive, Oceanside, CA, 92058","Public district","K-8","855","22:1","Oceanside Unified School District"
"8","/10","Above average","Santa Margarita Elementary School","https://www.greatschools.org/california/oceanside/6021-Santa-Margarita-Elementary-School/","1 Carnes Road, Oceanside, CA, 92058","Public district","K-8","568","18:1","Oceanside Unified School District"
"8","/10","Above average","Empresa Elementary School","https://www.greatschools.org/california/oceanside/6317-Empresa-Elementary-School/","4850 Avenida Empresa, Oceanside, CA, 92056","Public district","K-5","848","24:1","Vista Unified School District"
"7","/10","Above average","Alamosa Park Elementary School","https://www.greatschools.org/california/oceanside/6309-Alamosa-Park-Elementary-School/","5130 Alamosa Park Drive, Oceanside, CA, 92057","Public district","K-5","489","23:1","Vista Unified School District"
"6","/10","Average","Scholarship Prep - Oceanside","https://www.greatschools.org/california/oceanside/32698-Scholarship-Prep---Oceanside/","4070 Mission Avenue, Oceanside, CA, 92057","Public charter","K-8","316","18:1","San Diego County Office Of Education School District"
"6","/10","Average","Coastal Academy Charter","https://www.greatschools.org/california/oceanside/32713-Coastal-Academy-Charter/","4096 Calle Platino, Oceanside, CA, 92056","Public charter","K-12","1518","N/A","Oceanside Unified School District"
"6","/10","Average","El Camino High School","https://www.greatschools.org/california/oceanside/6002-El-Camino-High-School/","400 Rancho Del Oro Drive, Oceanside, CA, 92057","Public district","9-12","2958","25:1","Oceanside Unified School District"
"6","/10","Average","Martin Luther King Jr. Middle School","https://www.greatschools.org/california/oceanside/6006-Martin-Luther-King-Jr.-Middle-School/","1290 Ivey Ranch Road, Oceanside, CA, 92057","Public district","6-8","1390","25:1","Oceanside Unified School District"
"6","/10","Average","Stuart Mesa Elementary School","https://www.greatschools.org/california/oceanside/6022-Stuart-Mesa-Elementary-School/","100 Yamanako Way, Oceanside, CA, 92058","Public district","K-8","628","21:1","Oceanside Unified School District"
"6","/10","Average","Lake Elementary School","https://www.greatschools.org/california/oceanside/6320-Lake-Elementary-School/","4950 Lake Boulevard, Oceanside, CA, 92056","Public district","K-5","787","23:1","Vista Unified School District"
"6","/10","Average","Mission Meadows Elementary School","https://www.greatschools.org/california/oceanside/6323-Mission-Meadows-Elementary-School/","5657 Spur Avenue, Oceanside, CA, 92057","Public district","K-5","544","21:1","Vista Unified School District"
"5","/10","Average","T.H.E Leadership Academy","https://www.greatschools.org/california/oceanside/12481-Temple-Heights-Elementary-School/","1550 Temple Heights Drive, Oceanside, CA, 92056","Public district","K-5","683","20:1","Vista Unified School District"
"5","/10","Average","Lincoln Middle School","https://www.greatschools.org/california/oceanside/6009-Lincoln-Middle-School/","2000 California Street, Oceanside, CA, 92054","Public district","6-8","869","24:1","Oceanside Unified School District"
"5","/10","Average","Oceanside High School","https://www.greatschools.org/california/oceanside/6014-Oceanside-High-School/","1 Pirates Cove Way, Oceanside, CA, 92054","Public district","9-12","2195","23:1","Oceanside Unified School District"
"5","/10","Average","Palmquist Elementary School","https://www.greatschools.org/california/oceanside/6016-Palmquist-Elementary-School/","1999 California Street, Oceanside, CA, 92054","Public district","K-5","611","20:1","Oceanside Unified School District"
"5","/10","Average","Reynolds Elementary School","https://www.greatschools.org/california/oceanside/6017-Reynolds-Elementary-School/","4575 Douglas Drive, Oceanside, CA, 92057","Public district","K-5","617","22:1","Oceanside Unified School District"
"5","/10","Average","Madison Middle School","https://www.greatschools.org/california/oceanside/6322-Madison-Middle-School/","4930 Lake Boulevard, Oceanside, CA, 92056","Public district","6-8","1067","21:1","Vista Unified School District"
"4","/10","Below average","Nichols Elementary School","https://www.greatschools.org/california/oceanside/12226-Nichols-Elementary-School/","4250 Old Grove Road, Oceanside, CA, 92057","Public district","K-5","616","20:1","Oceanside Unified School District"
