"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"8","/10","Above average","Steele Canyon High School","https://www.greatschools.org/california/spring-valley/11835-Steele-Canyon-High-School/","12440 Campo Road, Spring Valley, CA, 91978","Public charter","9-12","2154","27:1","Grossmont Union High School District"
"6","/10","Average","Science, Technology, Engineering, Arts, And Math Academy At La Presa","https://www.greatschools.org/california/spring-valley/32167-Science-Technology-Engineering-Arts-And-Math-Academy-At-La-Presa/","1001 Leland Street, Spring Valley, CA, 91977","Public district","4-8","927","23:1","La Mesa-Spring Valley School District"
"6","/10","Average","Sweetwater Springs Elementary School","https://www.greatschools.org/california/spring-valley/5978-Sweetwater-Springs-Elementary-School/","10129 Austin Drive, Spring Valley, CA, 91977","Public district","K-6","495","23:1","La Mesa-Spring Valley School District"
"5","/10","Average","Monte Vista High School","https://www.greatschools.org/california/spring-valley/5928-Monte-Vista-High-School/","3230 Sweetwater Springs Boulevard, Spring Valley, CA, 91977","Public district","9-12","1671","18:1","Grossmont Union High School District"
"5","/10","Average","Avondale Elementary School","https://www.greatschools.org/california/spring-valley/5957-Avondale-Elementary-School/","8401 Stansbury Street, Spring Valley, CA, 91977","Public district","K-6","440","25:1","La Mesa-Spring Valley School District"
"5","/10","Average","Highlands Elementary School","https://www.greatschools.org/california/spring-valley/5961-Highlands-Elementary-School/","3131 South Barcelona Street, Spring Valley, CA, 91977","Public district","K-6","530","24:1","La Mesa-Spring Valley School District"
"5","/10","Average","Rancho Elementary School","https://www.greatschools.org/california/spring-valley/5974-Rancho-Elementary-School/","8845 Noeline Avenue, Spring Valley, CA, 91977","Public district","K-6","344","23:1","La Mesa-Spring Valley School District"
"4","/10","Below average","Casa De Oro Elementary School","https://www.greatschools.org/california/spring-valley/5959-Casa-De-Oro-Elementary-School/","10227 Ramona Drive, Spring Valley, CA, 91977","Public district","K-6","357","22:1","La Mesa-Spring Valley School District"
"4","/10","Below average","La Presa Elementary School","https://www.greatschools.org/california/spring-valley/5965-La-Presa-Elementary-School/","519 La Presa Avenue, Spring Valley, CA, 91977","Public district","K-6","445","23:1","La Mesa-Spring Valley School District"
"3","/10","Below average","Mount Miguel High School","https://www.greatschools.org/california/spring-valley/5929-Mount-Miguel-High-School/","8585 Blossom Lane, Spring Valley, CA, 91977","Public district","9-12","1298","17:1","Grossmont Union High School District"
"3","/10","Below average","Bancroft Elementary School","https://www.greatschools.org/california/spring-valley/5958-Bancroft-Elementary-School/","8805 Tyler Street, Spring Valley, CA, 91977","Public district","K-6","461","25:1","La Mesa-Spring Valley School District"
"3","/10","Below average","Kempton Street Elementary School","https://www.greatschools.org/california/spring-valley/5962-Kempton-Street-Elementary-School/","740 Kempton Street, Spring Valley, CA, 91977","Public district","K-3","438","23:1","La Mesa-Spring Valley School District"
"3","/10","Below average","Loma Elementary School","https://www.greatschools.org/california/spring-valley/5968-Loma-Elementary-School/","10355 Loma Lane, Spring Valley, CA, 91978","Public district","K-6","324","24:1","La Mesa-Spring Valley School District"
"3","/10","Below average","Spring Valley Middle School","https://www.greatschools.org/california/spring-valley/5977-Spring-Valley-Middle-School/","3900 Conrad Drive, Spring Valley, CA, 91977","Public district","4-8","830","19:1","La Mesa-Spring Valley School District"
"1","/10","Below average","Quest Academy","https://www.greatschools.org/california/spring-valley/17705-Quest-Academy/","8805 Tyler Street, Spring Valley, CA, 91977","Public district","6-8","17","4:1","La Mesa-Spring Valley School District"
"","","Currently unrated","Trinity Christian School","https://www.greatschools.org/california/spring-valley/10366-Trinity-Christian-School/","3902 Kenwood Drive, Spring Valley, CA, 91977","Private","PK-8","158","N/A",""
"","","Currently unrated","Heartland Christian","https://www.greatschools.org/california/spring-valley/11646-Heartland-Christian/","3327 Kenora Drive, Spring Valley, CA, 91977","Private","K-12","120","N/A",""
"","","Currently unrated","Montessori Achievement Centre","https://www.greatschools.org/california/spring-valley/13481-Montessori-Achievement-Centre/","10435 Campo Road, Spring Valley, CA, 91978","Private","Ungraded","42","N/A",""
"","","Currently unrated","Steele Canyon Adult Center","https://www.greatschools.org/california/spring-valley/14782-Steele-Canyon-Adult-Center/","12440 Campo Road, Spring Valley, CA, 91978","Public district","Ungraded","N/A","","Grossmont Union High School District"
"","","Currently unrated","Helix Montessori School","https://www.greatschools.org/california/spring-valley/15100-Helix-Montessori-School/","3941 Conrad Dr, Spring Valley, CA, 91977","Private","PK-K","N/A","N/A",""
"","","Currently unrated","Fred Finch Youth Center","https://www.greatschools.org/california/spring-valley/16539-Fred-Finch-Youth-Center/","3845 Spring Drive, Spring Valley, CA, 91977","Private","6-12","12","N/A",""
"","","Currently unrated","Santa Sophia Pre-School","https://www.greatschools.org/california/spring-valley/23077-Santa-Sophia-Pre-School/","9806 San Juan Street, Spring Valley, CA, 91977","Private","PK-K","N/A","N/A",""
"","","Currently unrated","Santa Sophia Academy","https://www.greatschools.org/california/spring-valley/8407-Santa-Sophia-Academy/","9806 San Juan Street, Spring Valley, CA, 91977","Private","K-8","216","N/A",""
